env_id,mass_g,mass_kg,bending_lever_arm_m,expected_Fx_N,expected_My_Nm,settled,settle_time_s,sample_count,tare_sample_count,sample_max_relative_speed_m_s,sample_max_relative_angular_speed_rad_s,sample_max_position_error_m,sample_min_broad_normal_z,sample_max_abs_sensor_axis_z,Fx_N,Fx_std_N,raw_Fx_N,raw_Fx_std_N,tare_Fx_N,tare_Fx_std_N,Fy_N,Fy_std_N,raw_Fy_N,raw_Fy_std_N,tare_Fy_N,tare_Fy_std_N,Fz_N,Fz_std_N,raw_Fz_N,raw_Fz_std_N,tare_Fz_N,tare_Fz_std_N,Mx_Nm,Mx_std_Nm,raw_Mx_Nm,raw_Mx_std_Nm,tare_Mx_Nm,tare_Mx_std_Nm,My_Nm,My_std_Nm,raw_My_Nm,raw_My_std_Nm,tare_My_Nm,tare_My_std_Nm,Mz_Nm,Mz_std_Nm,raw_Mz_Nm,raw_Mz_std_Nm,tare_Mz_Nm,tare_Mz_std_Nm,Fx_error_N,Fx_error_percent,My_error_Nm,My_error_percent,measured_lever_arm_m
10,110,0.11,0.13369999999999999,1.0791000000000002,0.14427567,True,1.4958333333333333,240,180,0.0012915792176499963,0.013183663599193096,8.11326856364758e-07,0.9999823570251465,0.0002200603485107422,1.0785587214761354,3.919728650442239e-07,3.0405221869548162,3.9197286504422227e-07,1.9619634654786853,2.0741855867674965e-07,0.006861651779359381,1.030480819439648e-07,0.018296328474146625,1.0304808194396453e-07,0.011434676694787212,7.657529724191784e-08,-0.00038439723648480155,6.445338543256093e-08,-0.0006426773211084462,6.445338543256105e-08,-0.00025828008462364473,3.9105595219635795e-08,-0.000917556737355579,1.5495764678057153e-08,-0.0024465096561471,1.5495764678057166e-08,-0.0015289529187915226,1.2169475187267335e-08,0.14420873456531108,6.131342380572916e-08,0.40652328431606294,6.131342380572917e-08,0.2623145497507519,3.1510782975819205e-08,0.0001732943463803995,1.046463143389238e-08,0.00017374757583941877,1.0464631433892392e-08,4.5322945901994496e-07,7.771286342885544e-09,-0.0005412785238647633,-0.05016018199098908,-6.693543468891394e-05,-0.04639412500313736,0.13370503774513487
11,120,0.12,0.13369999999999999,1.1772,0.15739164,True,1.4958333333333333,240,180,0.0012862862786278129,0.01310071162879467,8.618956712780346e-07,0.9999821186065674,0.0002288818359375,1.1766090889771736,1.3194253356257392e-06,3.1385730266571046,1.3194253356257392e-06,1.9619639376799265,1.72899966929719e-07,0.007506692448320501,1.3376922504666566e-05,0.01894135163941731,1.3376922504666568e-05,0.011434659191096822,6.617327362866608e-08,-0.000432485635327695,1.1600764962863982e-05,-0.0006907720594123627,1.1600764962863978e-05,-0.00025828642408467004,3.5263850030991284e-08,-0.0010037463691939304,1.7792064464429482e-06,-0.0025327001261757688,1.7792064464429484e-06,-0.0015289537569818398,1.0120008401668714e-08,0.15731876620815885,1.5638646597903925e-07,0.41963337175548077,1.5638646597903925e-07,0.26231460554732217,2.129528670752091e-08,0.00018960307231421085,4.175407182791906e-07,0.0001900555592631766,4.175407182791904e-07,4.52486948966503e-07,7.331851864343379e-09,-0.0005909110228263792,-0.050196315224802855,-7.287379184114928e-05,-0.046300929224162915,0.13370521074668568
12,130,0.13,0.13369999999999999,1.2753,0.17050761,True,1.4958333333333333,240,180,0.001264258404262364,0.012752500362694263,9.609010476197e-07,0.9999821186065674,0.00023615360260009766,1.2746601670980457,4.033576944601744e-06,3.236623963713646,4.033576944601728e-06,1.9619637966156005,1.879169580254268e-07,0.008149350892441952,1.1647047386005209e-05,0.019583971775136887,1.1647047386005202e-05,0.01143462088269492,5.957890712376131e-08,-0.00047665985443422475,1.1955711730393237e-05,-0.000734226951317396,1.195571173039323e-05,-0.0002575670968831724,2.81190368763013e-08,-0.0010897127254995407,1.5533271992735371e-06,-0.0026186571776634082,1.5533271992735371e-06,-0.0015289444521638669,7.651666622721119e-09,0.1704292306055622,3.0927332124402394e-07,0.43274379558861253,3.092733212440246e-07,0.26231456498305,1.994852443542025e-08,0.0002060010142285614,3.303113715063142e-07,0.00020645797497612268,3.3031137150631426e-07,4.5696074756228376e-07,6.256666446474809e-09,-0.0006398329019543514,-0.05017116772166168,-7.837939443780528e-05,-0.04596826759685699,0.13370562209813913
13,140,0.14,0.13369999999999999,1.3734000000000002,0.18362358,True,1.4958333333333333,240,180,0.0012652723817154765,0.012772979214787483,1.0373445320510655e-06,0.9999818801879883,0.00024569034576416016,1.3727116634448389,6.51178974552111e-06,3.3346754600604376,6.511789745521103e-06,1.9619637966156005,1.879169580254268e-07,0.008799724583514017,1.566492921937429e-05,0.020234345466208954,1.566492921937428e-05,0.01143462088269492,5.957890712376131e-08,-0.000530485613045232,1.8760476789948533e-05,-0.0007880527099284033,1.8760476789948536e-05,-0.0002575670968831724,2.81190368763013e-08,-0.0011766030155639655,2.082733292541296e-06,-0.002705547467727835,2.0827332925412956e-06,-0.0015289444521638669,7.651666622721119e-09,0.1835392723480857,4.927921302124956e-07,0.4458538373311361,4.927921302124961e-07,0.26231456498305,1.994852443542025e-08,0.0002225242341816003,4.436699015704496e-07,0.00022298119492916157,4.436699015704495e-07,4.5696074756228376e-07,6.256666446474809e-09,-0.0006883365551613174,-0.05011916085345255,-8.4307651914306e-05,-0.04591330368044562,0.13370562605076974
14,150,0.15,0.13369999999999999,1.4715,0.19673954999999999,True,1.4958333333333333,240,180,0.0013160023372620344,0.013403144665062428,1.623081288926187e-06,0.9999818801879883,0.0002548694610595703,1.4707628230253829,3.895394836777323e-07,3.432726740837097,3.895394836777323e-07,1.9619639178117116,2.2016293289018435e-07,0.009454501174493797,1.4019656708970758e-07,0.02088914857401202,1.4019656708970758e-07,0.011434647399518225,6.621348784402554e-08,-0.0005817716570163625,6.857100938008059e-08,-0.0008393494788227448,6.857100938008051e-08,-0.0002575778218063836,2.985455083093453e-08,-0.0012642111632481473,2.0011483815918537e-08,-0.0027931578040200594,2.0011483815918586e-08,-0.001528946640771917,9.043078896624837e-09,0.19664925481710124,5.904596063446279e-08,0.45896383486688136,5.904596063446279e-08,0.2623145800497797,2.7708163203335548e-08,0.00023950888638732127,6.594222489672009e-09,0.00023996347523886168,6.594222489672012e-09,4.545888515394836e-07,7.270042860510239e-09,-0.0007371769746171708,-0.050096974149994616,-9.029518289874194e-05,-0.04589579619285596,0.13370561979027357
15,160,0.16,0.13369999999999999,1.5696,0.20985552,True,1.4958333333333333,240,180,0.0012569213286042213,0.01266496442258358,1.4020955632076948e-06,0.9999817609786987,0.0002620220184326172,1.5688143915600195,5.226169015745643e-06,3.5307777007420857,5.2261690157456685e-06,1.9619633091820612,2.2501852612226554e-07,0.010105877082484487,1.1137830686366444e-05,0.021540550941911835,1.1137830686366456e-05,0.011434673859427372,6.11082727147931e-08,-0.0006310960946494688,1.7319771039296115e-05,-0.0008893633942837672,1.7319771039296105e-05,-0.000258267299634301,2.3369370385980107e-08,-0.0013512775958386333,1.4879212387155638e-06,-0.00288022650735608,1.4879212387155638e-06,-0.0015289489115174447,8.942048511278656e-09,0.20976008110576327,3.263618249433121e-07,0.47207460800806683,3.2636182494331054e-07,0.2623145269023048,3.240611951700966e-08,0.0002557900909495609,3.4745541373591546e-07,0.0002562451823905576,3.4745541373591535e-07,4.5509144099595586e-07,9.283177040180573e-09,-0.0007856084399806562,-0.050051506114975546,-9.54388942367157e-05,-0.04547838162022886,0.13370611732926488
16,170,0.17,0.13369999999999999,1.6677000000000002,0.22297149,True,1.4958333333333333,240,180,0.0012541452888399363,0.012557203881442547,1.4461421642408823e-06,0.9999816417694092,0.0002715587615966797,1.6668656137254452,1.39882217835962e-05,3.628829220930735,1.3988221783596134e-05,1.961963607205285,2.1287129999429622e-07,0.010763910772382429,1.6906636147916324e-05,0.022198577512366077,1.6906636147916337e-05,0.011434666739983692,5.639608275898048e-08,-0.0006897448759344938,1.8368693463508274e-05,-0.0009480169440697258,1.836869346350825e-05,-0.0002582720681352334,2.4434703622182398e-08,-0.0014392389770364388,2.246466692423491e-06,-0.0029681906812281038,2.246466692423491e-06,-0.0015289517041916648,1.0005214941001169e-08,0.22287049624654862,1.8622622269235343e-06,0.48518506238857906,1.862262226923535e-06,0.26231456614202925,2.7432204496842828e-08,0.00027259089384696505,5.438804252098474e-07,0.00027304556266850947,5.438804252098475e-07,4.5466882154540954e-07,8.921402476078814e-09,-0.0008343862745550101,-0.05003215653624813,-0.00010099375345137829,-0.04529446946395626,0.13370633745838273
17,180,0.18,0.13369999999999999,1.7658,0.23608745999999997,True,1.4958333333333333,240,180,0.0012934327824041247,0.013057003729045391,1.4963800367695512e-06,0.9999815225601196,0.00028383731842041016,1.7649178726805625,4.757541913997285e-07,3.7268815845251084,4.757541913997285e-07,1.9619637118445503,2.3011199967094357e-07,0.011429152598915,1.3539024360476702e-07,0.02286379612827053,1.3539024360476708e-07,0.011434643529355526,6.221044125648401e-08,-0.0007603680866951553,6.5341708565431e-08,-0.0010179330366857661,6.534170856543116e-08,-0.00025756494999061233,2.7334968721453208e-08,-0.001528184845099333,1.865901665132862e-08,-0.00305713152338285,1.8659016651328682e-08,-0.001528946678283521,1.057571059839333e-08,0.23598132534987465,6.400298670110026e-08,0.4982958817233642,6.400298670110044e-08,0.2623145563734902,2.4749097561271877e-08,0.0002895105857125666,9.16901134353593e-09,0.0002899670409533428,9.169011343535918e-09,4.5645524077523684e-07,6.560232634980125e-09,-0.0008821273194374868,-0.0499562418981474,-0.00010613465012532242,-0.04495564911635816,0.1337066891341893
18,190,0.19,0.13369999999999999,1.8639000000000001,0.24920342999999998,True,1.4958333333333333,240,180,0.001898651709780097,0.020190805196762085,1.8273223076903378e-06,0.9999812841415405,0.00029540061950683594,1.862972915503702,0.0015613891976389046,3.8249367882808047,0.0015613891976389049,1.9619638727770912,2.9609602858707605e-07,0.012103926413611625,0.006831744021209594,0.023538610072622153,0.0068317440212095955,0.011434683659010464,6.585719447217758e-08,-0.0008115081493856865,0.006233185711417916,-0.0010697858871087835,0.006233185711417917,-0.0002582777377230943,2.825752592310291e-08,-0.0016184354053216934,0.0009077898633729775,-0.003147389824577355,0.0009077898633729776,-0.0015289544192556707,1.0727256260924669e-08,0.24909215784735225,0.00011149095964812306,0.5114067604144414,0.0001114909596481231,0.26231460256708994,3.584832077893125e-08,0.0003064153492440868,0.00021064747319649637,0.0003068682506030503,0.00021064747319649642,4.5290135896417876e-07,8.788373837124356e-09,-0.0009270844962980807,-0.04973896111905578,-0.00011127215264772339,-0.044651132068175545,0.1337068058125815
19,200,0.2,0.13369999999999999,1.9620000000000002,0.2623194,True,1.4958333333333333,240,180,0.0017528211465105414,0.019320061430335045,1.6944175058597466e-06,0.9999812841415405,0.0003056526184082031,1.9610226740439702,0.0015878732742709363,3.9229865918556848,0.0015878732742709359,1.9619639178117116,2.2016293289018435e-07,0.01276934338448979,0.004522473895165863,0.024203990784008055,0.004522473895165862,0.011434647399518225,6.621348784402554e-08,-0.0008963474058684081,0.005502989909793439,-0.0011539252276747901,0.005502989909793439,-0.0002575778218063836,2.985455083093453e-08,-0.0017074328496366686,0.0006007925622699297,-0.0032363794904085807,0.0006007925622699299,-0.001528946640771917,9.043078896624837e-09,0.2622032067014101,8.897831584718012e-05,0.5245177867511909,8.897831584718016e-05,0.2623145800497797,2.7708163203335548e-08,0.00032326251953710073,0.0001425332749124021,0.00032371710838864,0.00014253327491240206,4.545888515394836e-07,7.270042860510239e-09,-0.0009773259560299508,-0.04981273985881502,-0.00011619329858986172,-0.0442945884253554,0.1337073814453667
